treeID,meanSpectra475,meanSpectra560,meanSpectra668,meanSpectra717,meanSpectra842,medianSpectra475,medianSpectra560,medianSpectra668,medianSpectra717,medianSpectra842,meanSpectra_bright475,meanSpectra_bright560,meanSpectra_bright668,meanSpectra_bright717,meanSpectra_bright842,medianSpectra_bright475,medianSpectra_bright560,medianSpectra_bright668,medianSpectra_bright717,medianSpectra_bright842,meanSpectra_dark475,meanSpectra_dark560,meanSpectra_dark668,meanSpectra_dark717,meanSpectra_dark842,medianSpectra_dark475,medianSpectra_dark560,medianSpectra_dark668,medianSpectra_dark717,medianSpectra_dark842,meanSpectra_6max475,meanSpectra_6max560,meanSpectra_6max668,meanSpectra_6max717,meanSpectra_6max842,medianSpectra_6max475,medianSpectra_6max560,medianSpectra_6max668,medianSpectra_6max717,medianSpectra_6max842,meanSpectraNormalized475,meanSpectraNormalized560,meanSpectraNormalized668,meanSpectraNormalized717,meanSpectraNormalized842,continuumRemovedMeanSpectra475,continuumRemovedMeanSpectra560,continuumRemovedMeanSpectra668,continuumRemovedMeanSpectra717,continuumRemovedMeanSpectra842,ARVI,ARVI2,BNDVI,BWDRVI,CI,CIG,CIVE,CRI1,CVI,DATT1,DATT6,ExG,EXGR,ExR,EVI,GLI,GBNDVI,GNDVI1,IF,LCI,LogR,MGRVI,mSR,MSR1,MTVI1,NBlue,NDRE,NDVI,NGreen,NRed,OSAVI,RDVI1,RGBVI,SAVI,TCI,
422,0.024317,0.053199,0.037088,0.123567,0.304551,0.023621,0.052887,0.036011,0.122406,0.299927,0.029369,0.062789,0.046739,0.146383,0.353187,0.027893,0.061676,0.044525,0.143097,0.345123,0.020152,0.043885,0.028703,0.101555,0.261168,0.020813,0.045990,0.028915,0.103760,0.267761,0.045471,0.085078,0.080175,0.202525,0.463979,0.044495,0.084457,0.080292,0.200226,0.465225,0.072398,0.158385,0.110420,0.367887,0.906719,1.000000,0.563691,0.225550,0.526954,1.000000,0.723324,0.737314,0.782646,0.116089,0.322431,7.676046,18.765850,23.699568,4.008779,0.678268,50.221936,0.044992,0.017386,0.027606,0.749191,0.271704,0.594001,0.702940,-2.897873,0.532237,2.133683,0.356140,17.658633,2.440848,0.410279,0.213335,0.425349,0.784029,0.466841,0.319824,0.614121,0.455823,0.519595,0.472782,1.921728,
423,0.021226,0.059145,0.028124,0.135227,0.382019,0.021210,0.059540,0.027557,0.134918,0.382843,0.024333,0.071064,0.034454,0.165082,0.467643,0.024017,0.069717,0.032837,0.162247,0.468109,0.018150,0.046628,0.022440,0.105855,0.294986,0.018646,0.048248,0.023224,0.111053,0.314880,0.031270,0.095362,0.055751,0.217616,0.582830,0.031265,0.094055,0.054001,0.217270,0.582703,0.051639,0.143887,0.068419,0.328978,0.929367,1.000000,0.530808,0.139488,0.463392,1.000000,0.830794,0.825440,0.813703,0.270171,0.222869,12.764848,18.755468,30.495233,3.076221,0.696241,51.875181,0.068940,0.050793,0.018147,0.830754,0.405462,0.645964,0.728967,-2.891427,0.598689,2.601882,0.624627,68.947695,3.298971,0.558001,0.199406,0.475125,0.859350,0.542425,0.258168,0.705681,0.545964,0.697194,0.571063,1.806675,
424,0.022135,0.062439,0.031599,0.163300,0.383290,0.021271,0.061310,0.028564,0.160950,0.384186,0.028078,0.079507,0.043977,0.205419,0.458767,0.027130,0.078232,0.040558,0.204285,0.457031,0.017489,0.046709,0.023358,0.124483,0.307070,0.017624,0.047882,0.023697,0.126495,0.315674,0.042943,0.104411,0.083466,0.266561,0.561127,0.042923,0.104034,0.077896,0.265228,0.557892,0.052324,0.147595,0.074694,0.386014,0.906031,1.000000,0.555389,0.155879,0.557337,1.000000,0.811952,0.814610,0.811982,0.271237,0.267460,12.043709,18.754448,31.229014,3.154074,0.630250,43.732936,0.071144,0.049041,0.022103,0.861335,0.399413,0.642029,0.723641,-2.704833,0.536126,2.540283,0.595265,60.288435,3.182430,0.554546,0.193333,0.408516,0.850094,0.538994,0.267673,0.702120,0.542624,0.692187,0.568812,2.011834,
425,0.020434,0.051713,0.029400,0.123529,0.348422,0.019623,0.049316,0.027161,0.118408,0.338562,0.025080,0.065428,0.038969,0.156496,0.419181,0.023987,0.062988,0.035950,0.152771,0.407867,0.016704,0.040628,0.022257,0.099409,0.293456,0.016800,0.041443,0.022369,0.101959,0.304077,0.038035,0.088826,0.080724,0.215240,0.541468,0.036606,0.088562,0.077835,0.215942,0.543671,0.054494,0.137908,0.078402,0.329424,0.929163,1.000000,0.504860,0.159410,0.463654,1.000000,0.806725,0.810435,0.820812,0.261871,0.276333,11.518919,18.762273,30.885906,3.895251,0.707925,61.591281,0.053593,0.032868,0.020725,0.786184,0.349580,0.659308,0.744347,-2.817302,0.599519,2.506717,0.514656,48.565688,3.109999,0.494202,0.204154,0.481125,0.846525,0.509822,0.286024,0.681811,0.516323,0.629665,0.538925,1.755984,
426,0.025050,0.065983,0.040682,0.149721,0.307862,0.024933,0.064636,0.037903,0.143219,0.300598,0.030810,0.082576,0.055306,0.190249,0.372184,0.029938,0.080200,0.051071,0.188019,0.363632,0.019566,0.051376,0.029767,0.119267,0.254485,0.020279,0.054276,0.030792,0.124100,0.261658,0.044668,0.111750,0.092021,0.252711,0.489929,0.044937,0.111298,0.090607,0.252594,0.489792,0.071187,0.187507,0.115609,0.425467,0.874863,1.000000,0.689097,0.244403,0.631309,1.000000,0.701704,0.721825,0.757033,0.107790,0.350923,7.198189,18.756454,26.821269,2.890200,0.595784,35.922489,0.066234,0.034329,0.031905,0.776934,0.338054,0.545901,0.650637,-2.627516,0.459858,2.070702,0.460970,24.412688,2.340670,0.424208,0.193604,0.351058,0.770791,0.503726,0.302671,0.603642,0.450350,0.618276,0.466496,2.308762,
427,0.027143,0.074350,0.042053,0.163333,0.337684,0.026123,0.073608,0.039246,0.160553,0.333984,0.032679,0.087446,0.055269,0.191390,0.388967,0.031189,0.084869,0.051453,0.184723,0.380432,0.022842,0.062821,0.032890,0.139272,0.291339,0.023224,0.064102,0.033295,0.141708,0.293671,0.049596,0.118627,0.094411,0.258275,0.506617,0.050156,0.117706,0.092468,0.253433,0.500885,0.070378,0.192781,0.109040,0.423504,0.875578,1.000000,0.709594,0.230539,0.628086,1.000000,0.716735,0.732699,0.753278,0.112451,0.328923,7.596173,18.750493,24.647159,2.556058,0.590321,29.516021,0.079504,0.047772,0.031732,0.850246,0.369399,0.537964,0.639923,-2.583211,0.460779,2.118323,0.521595,23.814462,2.419363,0.476091,0.190250,0.349321,0.780085,0.521715,0.288036,0.632005,0.478300,0.657298,0.500558,2.343834,
428,0.022310,0.057425,0.035490,0.131829,0.287614,0.022308,0.054688,0.033081,0.125946,0.275421,0.027238,0.075961,0.049308,0.174971,0.364766,0.026474,0.073822,0.046371,0.171387,0.353409,0.017397,0.041213,0.024898,0.095554,0.227682,0.018250,0.043610,0.025574,0.096924,0.228729,0.038813,0.106008,0.084122,0.240245,0.510401,0.038971,0.105713,0.080902,0.240799,0.506332,0.068798,0.177087,0.109444,0.406532,0.886939,1.000000,0.647879,0.229026,0.595736,1.000000,0.722605,0.737697,0.769876,0.125546,0.322582,7.902393,18.760649,28.810130,3.201832,0.625432,48.259526,0.057051,0.029674,0.027377,0.703457,0.326832,0.569186,0.672916,-2.773299,0.491787,2.145386,0.452437,24.070754,2.469715,0.397277,0.200594,0.381282,0.784356,0.497514,0.301892,0.595774,0.439888,0.600291,0.451077,2.157686,
429,0.031093,0.079016,0.049000,0.179425,0.377800,0.030273,0.078888,0.045044,0.175903,0.376526,0.036621,0.093820,0.065312,0.215341,0.435747,0.035706,0.092407,0.061859,0.211273,0.431671,0.026595,0.064546,0.038719,0.146106,0.321162,0.027252,0.064896,0.038849,0.148666,0.327133,0.051529,0.122579,0.107427,0.281596,0.525828,0.049728,0.122162,0.107391,0.280258,0.527084,0.072380,0.183939,0.114066,0.417677,0.879467,1.000000,0.670939,0.239673,0.616319,1.000000,0.707164,0.725214,0.759275,0.098237,0.338174,7.126833,18.750967,20.150109,2.961029,0.605859,28.814729,0.077939,0.040432,0.037508,0.988046,0.330298,0.549772,0.655857,-2.632538,0.469143,2.075313,0.454591,25.452394,2.339673,0.520297,0.197860,0.359834,0.773687,0.498961,0.303179,0.647195,0.502061,0.608201,0.528395,2.250979,
430,0.039384,0.087988,0.072652,0.192298,0.324270,0.039337,0.087463,0.070862,0.189026,0.323608,0.045850,0.101661,0.089489,0.225570,0.365360,0.044800,0.100586,0.088440,0.220917,0.361359,0.033065,0.074968,0.058214,0.163006,0.284107,0.034027,0.076691,0.058792,0.165390,0.290512,0.060069,0.131007,0.110865,0.289927,0.449305,0.060318,0.129654,0.110397,0.290466,0.449463,0.099491,0.222274,0.183533,0.485780,0.819164,1.000000,0.795514,0.399570,0.759927,1.000000,0.515581,0.564771,0.689959,-0.091545,0.440868,3.656022,18.756685,14.698166,3.060063,0.526496,20.309136,0.063940,0.001610,0.062329,1.122687,0.224750,0.435650,0.573615,-2.373707,0.335963,1.517342,0.200363,10.172444,1.519839,0.386252,0.198253,0.258507,0.636557,0.441998,0.359749,0.522759,0.398885,0.462291,0.418838,2.932484,
431,0.031258,0.066453,0.046945,0.141918,0.285401,0.031464,0.068604,0.046631,0.144592,0.289001,0.039377,0.078961,0.062147,0.167840,0.335040,0.037643,0.077133,0.058914,0.163239,0.327942,0.022842,0.050244,0.032184,0.111493,0.230833,0.024170,0.053802,0.033813,0.118835,0.242096,0.065832,0.105545,0.098200,0.228861,0.450465,0.064774,0.104156,0.097000,0.227509,0.449875,0.094594,0.201104,0.142068,0.429481,0.863697,1.000000,0.701028,0.296503,0.639660,1.000000,0.652017,0.664966,0.722290,-0.027863,0.302077,5.848800,18.761192,20.041568,3.003811,0.601286,34.807999,0.054703,0.020238,0.034465,0.810086,0.271053,0.492211,0.623861,-3.029126,0.435815,1.864899,0.359594,21.211259,2.031919,0.373809,0.216158,0.338649,0.722193,0.467107,0.316735,0.556414,0.411788,0.514168,0.424719,2.382685,
