treeID,ARVI,ARVI2,BNDVI,BWDRVI,CI,CIG,CIVE,CRI1,CVI,DATT1,DATT6,ExG,EXGR,ExR,EVI,GLI,GBNDVI,GNDVI1,IF,LCI,LogR,MGRVI,mSR,MSR1,MTVI1,NBlue,NDRE,NDVI,NGreen,NRed,OSAVI,RDVI1,RGBVI,SAVI,TCI
352,0.191899,0.212129,0.482578,-0.512974,0.364143,1.046026,18.781858,5.518223,2.777376,0.529785,20.279189,0.005363,-0.059633,0.064996,1.024444,0.025281,0.151162,0.402428,-4.238751,0.173818,0.701913,-0.147752,4.542152,0.591099,0.093765,0.252340,0.149410,0.335153,0.345029,0.402631,0.230113,0.162469,0.079786,0.160444,4.438637
353,0.250666,0.225057,0.424811,-0.572763,0.234612,1.084456,18.774056,3.441116,2.107541,0.482398,15.199997,0.020514,-0.039203,0.059717,0.116167,0.059307,0.080464,0.349707,-6.787576,0.166901,0.725391,-0.006522,6.106456,0.612063,0.138001,0.276762,0.141380,0.346203,0.360349,0.362889,0.253814,0.182440,0.127634,0.185089,5.174359
354,0.214209,0.192749,0.411648,-0.586763,0.252972,0.948188,18.776618,3.283525,2.130839,0.493515,15.188948,0.014934,-0.046068,0.061002,-1.530045,0.044882,0.065030,0.339391,-6.841463,0.156331,0.661781,-0.045503,5.010804,0.549288,0.116862,0.276018,0.134455,0.318589,0.353672,0.370310,0.231008,0.165097,0.100522,0.166799,5.234541
355,0.708678,0.722854,0.755297,0.088809,0.312825,7.476997,18.758502,25.614558,2.909626,0.615447,37.962049,0.061559,0.032490,0.029068,0.750493,0.331238,0.544068,0.652925,-2.761865,0.475667,2.087959,0.460558,36.505288,2.379791,0.409021,0.200835,0.367081,0.771670,0.500256,0.298909,0.600274,0.444101,0.604060,0.459731,2.229995
356,0.711862,0.719956,0.751617,0.064591,0.284022,7.310606,18.761463,25.194005,3.006745,0.631014,42.441325,0.054897,0.027718,0.027180,0.706573,0.314678,0.539587,0.654452,-2.992929,0.486267,2.072407,0.445382,35.644083,2.351374,0.381231,0.209230,0.379120,0.769193,0.490949,0.299821,0.583126,0.427877,0.579694,0.438887,2.173905
357,0.669842,0.690330,0.744687,0.045671,0.340068,6.422976,18.762873,25.795829,3.168359,0.609292,41.800786,0.051619,0.020055,0.031564,0.711819,0.291207,0.527544,0.644570,-2.748428,0.454528,1.955671,0.379077,26.728562,2.166628,0.355857,0.204676,0.352661,0.743872,0.477825,0.317498,0.558255,0.408113,0.550995,0.417424,2.295689
358,0.289239,0.263706,0.445532,-0.549008,0.226318,1.260800,18.772692,4.337047,2.113092,0.467714,16.868781,0.024136,-0.029940,0.054075,-3.369392,0.075686,0.105443,0.366675,-6.449702,0.178035,0.803027,0.031029,7.751855,0.690178,0.150034,0.275292,0.147904,0.379236,0.367988,0.356720,0.272049,0.195063,0.158836,0.196238,5.008422
359,0.222291,0.198989,0.410804,-0.585400,0.246684,0.972871,18.774452,3.424182,2.045852,0.461451,14.404745,0.019521,-0.043282,0.062803,0.893220,0.056381,0.061888,0.332948,-6.547397,0.148575,0.673866,-0.019068,5.430186,0.561006,0.125894,0.274982,0.126301,0.323923,0.358960,0.366058,0.236580,0.170033,0.122847,0.172254,5.606885
360,0.609274,0.604319,0.662735,-0.185596,0.234886,4.384960,18.760948,13.533395,2.505783,0.562866,27.202710,0.054356,0.022276,0.032079,0.805165,0.240415,0.399294,0.562672,-3.731275,0.378508,1.647106,0.345744,21.782432,1.703733,0.328390,0.237944,0.292729,0.670358,0.450300,0.311756,0.507719,0.369623,0.457447,0.379478,2.745864
361,0.595814,0.623539,0.700602,-0.060278,0.362031,4.732586,18.755849,17.525975,2.734428,0.558456,24.898196,0.066422,0.021916,0.044506,0.908889,0.273159,0.453081,0.585879,-2.714440,0.384155,1.709074,0.334714,26.423160,1.791160,0.386805,0.204643,0.294777,0.686785,0.468065,0.327292,0.545685,0.408047,0.524953,0.424938,2.683598
362,0.272562,0.239429,0.418959,-0.574982,0.211061,1.131272,18.766975,3.157749,1.919480,0.436360,12.252398,0.035132,-0.028798,0.063930,-1.609314,0.083010,0.069524,0.334528,-6.445495,0.156339,0.751973,0.054456,6.639882,0.636422,0.178569,0.276913,0.130124,0.358486,0.371431,0.351656,0.277683,0.204186,0.171664,0.211266,5.694589
363,0.678011,0.694436,0.737844,0.040092,0.323964,6.487309,18.757050,22.316944,2.833674,0.594465,32.075975,0.064455,0.029532,0.034922,0.830968,0.313965,0.514862,0.631748,-2.773725,0.444908,1.968855,0.426424,26.831510,2.184696,0.412753,0.202550,0.341392,0.747382,0.490697,0.306754,0.586828,0.438219,0.581006,0.454208,2.365770
364,0.267630,0.242900,0.432422,-0.564137,0.232137,1.140298,18.770867,3.518746,2.034575,0.452041,13.648348,0.027420,-0.033607,0.061027,3.644485,0.074523,0.086822,0.350468,-6.193483,0.163013,0.758127,0.025600,6.232694,0.641779,0.160217,0.274483,0.136089,0.361453,0.367380,0.358136,0.272438,0.197661,0.156966,0.202642,5.289865
365,0.181203,0.171909,0.413052,-0.582647,0.290492,0.873791,18.776281,3.393862,2.166133,0.505722,14.127527,0.015165,-0.057218,0.072383,-4.152962,0.041941,0.064311,0.334037,-5.880516,0.151003,0.622417,-0.072924,4.154899,0.512314,0.114316,0.268498,0.131201,0.300777,0.352308,0.379194,0.223871,0.161918,0.098741,0.165261,5.293509
366,0.717750,0.733791,0.772408,0.122041,0.327108,7.754034,18.763476,28.859160,3.416044,0.642362,50.633997,0.050699,0.023273,0.027425,0.687304,0.310538,0.574316,0.679734,-2.773771,0.502506,2.129459,0.418959,44.299836,2.442907,0.379126,0.202719,0.393474,0.781018,0.488795,0.308485,0.587172,0.431223,0.576433,0.440929,2.082185
367,0.391133,0.347495,0.475066,-0.512988,0.158163,1.742078,18.770033,5.684222,2.042851,0.455856,21.197201,0.031244,-0.007310,0.038554,-0.124765,0.112391,0.143072,0.393621,-6.602456,0.209335,0.982056,0.141116,17.820695,0.881478,0.171796,0.280439,0.168680,0.450850,0.385368,0.334193,0.309569,0.219368,0.225792,0.216774,4.760226
368,0.736970,0.751278,0.763477,0.155794,0.326633,8.485111,18.752371,30.012910,2.542375,0.615665,36.016083,0.075695,0.048212,0.027482,0.773295,0.390464,0.555275,0.650761,-2.553760,0.490683,2.209909,0.554671,37.617160,2.580022,0.455091,0.185476,0.376107,0.795964,0.534350,0.280174,0.628931,0.470725,0.681943,0.489026,2.222346
369,0.751375,0.748275,0.766133,0.088416,0.238277,8.299165,18.766673,30.255175,3.210991,0.655398,59.480200,0.043632,0.025555,0.018078,0.575990,0.313872,0.566226,0.680025,-3.289148,0.521009,2.192674,0.470325,50.229027,2.548201,0.335434,0.218804,0.409678,0.793398,0.490317,0.290879,0.565920,0.407124,0.573515,0.408598,2.035541
370,0.729132,0.742030,0.765472,0.120836,0.322062,7.760611,18.758963,27.380762,2.922572,0.623934,39.218945,0.060788,0.035296,0.025492,0.712565,0.344742,0.560924,0.664265,-2.701502,0.492085,2.149406,0.488507,28.021855,2.462993,0.414463,0.198085,0.379869,0.788060,0.507181,0.294734,0.610771,0.451263,0.625050,0.466394,2.162263
371,0.697149,0.698727,0.724626,-0.000542,0.261193,6.624928,18.758323,22.305757,2.592486,0.594897,35.789144,0.061690,0.036403,0.025287,0.696502,0.318899,0.494892,0.620953,-3.231046,0.447166,1.986691,0.468251,30.168688,2.213275,0.375702,0.214610,0.343140,0.751049,0.493761,0.291628,0.568398,0.415763,0.576044,0.426411,2.397523
372,0.646614,0.679697,0.723565,0.067430,0.409436,5.936967,18.748480,26.060663,2.324541,0.503623,24.118848,0.084188,0.046939,0.037249,0.778962,0.363787,0.485429,0.591464,-2.368932,0.370834,1.902826,0.479040,16.441695,2.075315,0.426825,0.178027,0.271896,0.734784,0.518788,0.303185,0.579207,0.434383,0.654547,0.450617,2.920086
373,0.584741,0.604996,0.666316,-0.121243,0.335223,4.249753,18.755562,19.975846,2.144436,0.497976,24.490365,0.067473,0.032264,0.035209,0.696105,0.302342,0.394995,0.534496,-2.832616,0.335020,1.638300,0.409763,14.346185,1.682850,0.316296,0.205756,0.250795,0.670937,0.483621,0.310624,0.494910,0.357172,0.564018,0.363138,3.184580
374,0.654224,0.686318,0.749405,0.079476,0.391464,6.291941,18.759642,25.563596,3.150809,0.615143,35.831954,0.058932,0.020253,0.038680,0.786566,0.303916,0.532972,0.641804,-2.392427,0.456499,1.938810,0.371459,24.054244,2.139503,0.391842,0.190794,0.355565,0.740443,0.485136,0.324070,0.576403,0.428215,0.576355,0.442903,2.270897
375,0.665423,0.690442,0.745866,0.056795,0.368607,6.297567,18.758442,23.776791,3.142353,0.583497,35.617567,0.061569,0.028645,0.032924,0.757462,0.298087,0.528477,0.643177,-2.640114,0.434381,1.948791,0.378744,19.675861,2.149674,0.402718,0.199257,0.331912,0.743968,0.482257,0.318486,0.577721,0.431108,0.556193,0.445145,2.391606
